Q2,x,y,purity,stability,sigma_red,sigma_red_pdf_unc,sigma_stat,sigma_p2p,sigma_norm
2.0,0.0005,0.7692307692307692,0.8667459559311291,0.3921180096873248,0.4307035884602735,0.0338207907756618,0.061695402166376895,1.2,2.5
2.0,0.0008,0.4807692307692307,0.8208512931034347,0.5598015800110007,0.3956961839482352,0.0212404319878248,0.04590234402058427,1.2,2.5
2.0,0.001,0.3846153846153846,0.7228571428571281,0.6465076660987906,0.3840975539393742,0.0191211656366406,0.03859750175137761,1.2,2.5
2.0,0.002,0.1923076923076923,0.562033999403501,0.6051701991008172,0.3487352589943391,0.011688449361293,0.03415128683627873,1.2,2.5
2.0,0.0032,0.1201923076923076,0.3847717111502273,0.4632197031479121,0.3301128086755399,0.0109570918380745,0.03255226741961214,1.2,2.5
2.0,0.005,0.0769230769230769,0.2464168971586357,0.3195825860100781,0.3191433657334636,0.0108611890202053,0.03135783379928088,1.2,2.5
2.0,0.008,0.048076923076923,0.1604224289665364,0.2096270740923024,0.3129114699340704,0.0093769648469283,0.03135783379928088,1.2,2.5
2.0,0.013,0.029585798816568,0.1450485767853935,0.1433866891322499,0.309572879600596,0.0087614018922445,0.03651159481250425,1.2,2.5
2.0,0.02,0.0192307692307692,0.1358738501970991,0.0869053622457469,0.3091055235925697,0.0077840217562752,0.045337912162605576,1.2,2.5
2.0,0.032,0.0120192307692307,0.1388443017656466,0.0570862893911843,0.3105220541928323,0.0073059744427493,0.056022802241832106,1.2,2.5
2.0,0.05,0.0076923076923076,0.1459649122807063,0.0345113655218153,0.3110644793789064,0.0058795992147227,0.07408519274646763,1.2,2.5
2.7,0.0008,0.6490384615384616,0.8650204095082682,0.4704350091169189,0.4667316566297928,0.0251972302631739,0.06120588071113163,1.2,2.5
2.7,0.0013,0.3994082840236687,0.8167002245805577,0.6129261363636107,0.4412595876261944,0.015876430635672,0.049671143659497756,1.2,2.5
2.7,0.002,0.2596153846153846,0.7108460846084426,0.6824368114063321,0.4163100916146819,0.0106221561634538,0.04195191809891664,1.2,2.5
2.7,0.0032,0.1622596153846154,0.5686619718309622,0.6134205528592301,0.3937975945452378,0.010080812239028,0.039115008117789694,1.2,2.5
2.7,0.005,0.1038461538461538,0.4063994115483327,0.4708138048572329,0.3780239614931187,0.009815168262081,0.037924446028693416,1.2,2.5
2.7,0.008,0.0649038461538461,0.2781271837875273,0.3469921534437283,0.3664733469405732,0.0086187911246511,0.0369648573654612,1.2,2.5
2.7,0.013,0.0399408284023668,0.1951131872080264,0.2339004953693487,0.3583956905533403,0.0079906099812077,0.03748583992471872,1.2,2.5
2.7,0.02,0.0259615384615384,0.1600566572237818,0.1530474040631914,0.3554986152072009,0.0067567406547134,0.042969556532751634,1.2,2.5
2.7,0.032,0.0162259615384615,0.1583907212758185,0.0979820627802615,0.3541945712692002,0.0066273024597951,0.05324305872941047,1.2,2.5
2.7,0.05,0.0103846153846153,0.1518840579710182,0.0598994055784135,0.3521559956755384,0.0053704055304558,0.06733553228982492,1.2,2.5
2.7,0.08,0.0064903846153846,0.1623843782117204,0.035868331441541,0.3491320142401354,0.0061541454175031,0.08965663340928257,1.2,2.5
3.5,0.0008,0.8413461538461539,0.8879419112906112,0.3623853211009065,0.5194345150084416,0.0260190463368234,0.09375999582501311,1.2,2.5
3.5,0.0013,0.5177514792899408,0.8423456571100228,0.5304695304694895,0.5086362569478747,0.0139024661846129,0.06430964762571037,1.2,2.5
3.5,0.002,0.3365384615384615,0.7856093979441776,0.6641837368094059,0.484060426117132,0.0092375119695847,0.05358402041634748,1.2,2.5
3.5,0.0032,0.2103365384615384,0.6912300364247446,0.7054618244209087,0.4560989142579744,0.0089870027593948,0.04681290294873963,1.2,2.5
3.5,0.005,0.1346153846153846,0.5658713692945743,0.6110333239988494,0.4327647394926815,0.0088845645658976,0.04503709136593226,1.2,2.5
3.5,0.008,0.0841346153846153,0.4289026275115507,0.4812138728323279,0.4120012967729576,0.0078712728435489,0.04488601825601083,1.2,2.5
3.5,0.013,0.051775147928994,0.2760058881255866,0.337331334332806,0.3951593608264398,0.0074630703451766,0.043804805830937835,1.2,2.5
3.5,0.02,0.0336538461538461,0.1962765957446646,0.2200357781752968,0.3847726557669817,0.0062179366847682,0.045608409232429724,1.2,2.5
3.5,0.032,0.0210336538461538,0.1737226277372191,0.1431148526758784,0.3758838556022264,0.0061295149913026,0.053427341658699695,1.2,2.5
3.5,0.05,0.0134615384615384,0.153462603878119,0.0892684498872017,0.3676563155842547,0.0050143979595875,0.06582642117290377,1.2,2.5
3.5,0.08,0.0084134615384615,0.1660305343511494,0.0552030456852764,0.3597720459147389,0.0052505789548982,0.08638895208623597,1.2,2.5
3.5,0.13,0.0051775147928994,0.1175257731958766,0.0243277848911646,0.3546128521415599,0.0048123877717045,0.12698954817451805,1.2,2.5
4.5,0.0013,0.6656804733727811,0.887297804751792,0.4451566951566651,0.5582868252406136,0.012808446130515,0.07451068298996741,1.2,2.5
4.5,0.002,0.4326923076923076,0.8614410338287999,0.5839205637411542,0.543629743406172,0.0083625110163807,0.06079366003033231,1.2,2.5
4.5,0.0032,0.2704326923076923,0.7836043810155789,0.7211362248014422,0.5133001478104953,0.0081901873529609,0.050949424343063425,1.2,2.5
4.5,0.005,0.173076923076923,0.6705349561279105,0.6920829681565626,0.4832015735714501,0.0081554274214007,0.04705080178546971,1.2,2.5
4.5,0.008,0.1081730769230769,0.5482690683928717,0.5948091603053088,0.4541335208519169,0.0073007387836361,0.046918189340827046,1.2,2.5
4.5,0.013,0.0665680473372781,0.4403872752420061,0.4850700792199465,0.4288704757724484,0.0069399549538926,0.04651410795250077,1.2,2.5
4.5,0.02,0.0432692307692307,0.2882303606373809,0.3266793409378714,0.4112580634406537,0.0058170505224552,0.04676052485910812,1.2,2.5
4.5,0.032,0.0270432692307692,0.2269170579029577,0.2317034196228671,0.3952540438529853,0.0057014325196562,0.04947700653927727,1.2,2.5
4.5,0.05,0.0173076923076923,0.1858047016274844,0.1384770889487811,0.3814554806689237,0.0047226102507484,0.059462927395551854,1.2,2.5
4.5,0.08,0.0108173076923076,0.2032163742690121,0.0941415509651162,0.3686640302178431,0.0046476162612207,0.07561288321857797,1.2,2.5
4.5,0.13,0.0066568047337278,0.1444759206798891,0.0483183325438177,0.3586130159432369,0.0042995665458963,0.10525348797892173,1.2,2.5
6.5,0.002,0.625,0.8735310077763262,0.4853963838664644,0.6075306767153504,0.0077606500269348,0.08078015261530458,1.2,2.5
6.5,0.0032,0.390625,0.8471250552891766,0.6441993464051927,0.587890857159386,0.0073165323524926,0.06481816979280919,1.2,2.5
6.5,0.005,0.25,0.772483813600017,0.7314263011521354,0.5515986525996307,0.0073054555388599,0.05728707483674157,1.2,2.5
6.5,0.008,0.15625,0.6588235294117306,0.706152082537225,0.5115600699399788,0.0066127242301947,0.052804679924802825,1.2,2.5
6.5,0.013,0.0961538461538461,0.567577828397838,0.5932539682539335,0.4744969195335455,0.006303891806647,0.05449177591010982,1.2,2.5
6.5,0.02,0.0625,0.4510993176648704,0.4835432750914007,0.4468031256240133,0.0053138409591191,0.054450447291414794,1.2,2.5
6.5,0.032,0.0390625,0.3184688239936704,0.3311448502256727,0.4209930394178687,0.0051932627797628,0.05555658496374303,1.2,2.5
6.5,0.05,0.025,0.2330097087378623,0.2213001383125832,0.3993716499406503,0.0043826281675918,0.06161766505551361,1.2,2.5
6.5,0.08,0.015625,0.2227011494252943,0.1443202979515818,0.3797739751287521,0.0040624665351353,0.07495821389875411,1.2,2.5
6.5,0.13,0.0096153846153846,0.1579689703808207,0.0677146311971,0.3629744354752948,0.0037549078017346,0.1050305717640276,1.2,2.5
6.5,0.2,0.00625,0.1488469601677153,0.0478114478114492,0.34091414383008,0.0032328187881776,0.12805002210303693,1.2,2.5
8.5,0.002,0.8173076923076923,0.8877073163379767,0.4125122189638424,0.6192942956215983,0.0080275994179507,0.12826776322844372,1.2,2.5
8.5,0.0032,0.5108173076923077,0.8642826632101016,0.5589171974522358,0.6302098689495065,0.0069045244398973,0.09812918502161277,1.2,2.5
8.5,0.005,0.3269230769230769,0.8220573200684236,0.6807547169811365,0.5962129015761342,0.0068282030157915,0.08442802478600935,1.2,2.5
8.5,0.008,0.204326923076923,0.7133334728715975,0.7439939939939976,0.5502296261180432,0.006206660164383,0.07503231080724508,1.2,2.5
8.5,0.013,0.1257396449704142,0.6473419160908629,0.6802670623145444,0.5052610066171008,0.0059192170608227,0.0743055142100956,1.2,2.5
8.5,0.02,0.0817307692307692,0.5451483931833423,0.5597243491577397,0.4706132028644929,0.005007724196356,0.07637259141338631,1.2,2.5
8.5,0.032,0.0510817307692307,0.4131971720345725,0.4297385620915118,0.4380445749070202,0.0048953693148752,0.07838349885564018,1.2,2.5
8.5,0.05,0.0326923076923076,0.3102541630149081,0.3036020583190482,0.4110456959476875,0.0041806539172447,0.08279345859307123,1.2,2.5
