Q2,x,y,gen,rec,gen_rec,purity,stability,sigma_red,sigma_red_pdf_unc,sigma_stat,sigma_p2p_opt,sigma_p2p_pess,sigma_norm_opt,sigma_norm_pess
2.0,0.001,0.7692307692307692,5783936.37009797,5313898.552201475,4466187.73371748,0.8404729013630114,0.7721709659198465,0.3796051524919896,0.0262970136738579,0.04338038184738977,1.2,4.2,2.5,4.3
2.0,0.002,0.3846153846153846,6596366.521122635,7036773.215634479,5376632.246125818,0.7640763857757817,0.8150899785372705,0.3449102339332902,0.0121537750746978,0.03769755840133302,1.2,4.2,2.5,4.3
2.0,0.0032,0.2403846153846153,7146335.993331022,7715980.190606998,5588996.695790443,0.7243404671507806,0.7820786345626778,0.3283144899173142,0.0110937266346708,0.03600016141243757,1.2,4.2,2.5,4.3
2.0,0.005,0.1538461538461538,7390282.848330385,7950053.756677139,5365741.761527632,0.6749315068493746,0.7260536398467973,0.3183251503892627,0.0108935295719205,0.03546622519821843,1.2,4.2,2.5,4.3
2.0,0.008,0.0961538461538461,7371769.024513469,7904313.721364758,4627366.905770631,0.58542298153769,0.6277145811789774,0.3125628466315888,0.0093846815879608,0.03556869369669617,1.2,4.2,2.5,4.3
2.0,0.013,0.0591715976331361,7519879.615048797,7975101.871252966,3782265.3009512313,0.4742591833948574,0.502968863142723,0.3094317144178944,0.0087643750425016,0.03541048542687892,1.2,4.2,2.5,4.3
2.0,0.02,0.0384615384615384,7580866.328798638,8347556.444510923,2877266.0308415988,0.3446836268754545,0.3795431690849464,0.3090436933853129,0.007785211848223,0.03461149175815062,1.2,4.2,2.5,4.3
2.0,0.032,0.0240384615384615,7616804.927972651,7766004.566967797,2065924.9282764115,0.2660215958491307,0.2712324849871525,0.3104978870215195,0.0073064132451772,0.0358840273651618,1.2,4.2,2.5,4.3
2.0,0.05,0.0153846153846153,7511167.227370248,5672853.427196474,1340618.6540370774,0.2363217508159049,0.1784833985791106,0.31105523991689,0.0058797475755349,0.0419854892877865,1.2,4.2,2.5,4.3
2.0,0.08,0.0096153846153846,7632051.606410111,3466441.247603706,798272.5210472785,0.2302858938108676,0.1045947488584608,0.3108047012619347,0.0073312618666687,0.053710361832225884,1.2,4.2,2.5,4.3
2.0,0.13,0.0059171597633136,5603154.325768084,1670600.3373621798,276618.3087940083,0.1655801825293409,0.0493683187560766,0.3155091191300891,0.0058335579360863,0.0773684181700051,1.2,4.2,2.5,4.3
