Q2,x,y,purity,stability,sigma_red,sigma_red_pdf_unc,sigma_stat,sigma_p2p,sigma_norm
2.0,0.001,0.7692307692307692,0.8847083172242227,0.7721709659198465,0.3796051524919896,0.0262970136738579,0.04450733268060969,4.2,4.3
2.0,0.002,0.3846153846153846,0.8042909323955597,0.8150899785372705,0.3449102339332902,0.0121537750746978,0.038676878846233505,4.2,4.3
2.0,0.0032,0.2403846153846153,0.7624636496324008,0.7820786345626778,0.3283144899173142,0.0110937266346708,0.03693538628073226,4.2,4.3
2.0,0.005,0.1538461538461538,0.7104542177361839,0.7260536398467973,0.3183251503892627,0.0108935295719205,0.03638757928354911,4.2,4.3
2.0,0.008,0.0961538461538461,0.6162347174080948,0.6277145811789774,0.3125628466315888,0.0093846815879608,0.03649270974475794,4.2,4.3
2.0,0.013,0.0591715976331361,0.4992201930472184,0.502968863142723,0.3094317144178944,0.0087643750425016,0.036330391484804596,4.2,4.3
2.0,0.02,0.0384615384615384,0.3628248703952153,0.3795431690849464,0.3090436933853129,0.007785211848223,0.03551064127723627,4.2,4.3
2.0,0.032,0.0240384615384615,0.2800227324727692,0.2712324849871525,0.3104978870215195,0.0073064132451772,0.03681623526228728,4.2,4.3
2.0,0.05,0.0153846153846153,0.2487597377009525,0.1784833985791106,0.31105523991689,0.0058797475755349,0.043076203110972086,4.2,4.3
2.0,0.08,0.0096153846153846,0.2424062040114396,0.1045947488584608,0.3108047012619347,0.0073312618666687,0.055105668522524465,4.2,4.3
2.0,0.13,0.0059171597633136,0.1742949289782536,0.0493683187560766,0.3155091191300891,0.0058335579360863,0.07937832217749692,4.2,4.3
2.7,0.0013,0.7988165680473374,0.9310520261882628,0.6804245283018576,0.4142349570347274,0.0213378171989295,0.06086189493118003,4.2,4.3
2.7,0.002,0.5192307692307693,0.846295017574882,0.7826499170419663,0.4034614533742691,0.0117335207156295,0.048511952566832196,4.2,4.3
2.7,0.0032,0.3245192307692308,0.7826106341728677,0.797636632200937,0.3887849459592691,0.0103791673371788,0.04360169472704643,4.2,4.3
2.7,0.005,0.2076923076923077,0.746588693957189,0.7618858165904733,0.3759951682437178,0.0098830913825579,0.04230753426608542,4.2,4.3
2.7,0.008,0.1298076923076923,0.6870881252394523,0.6991804917050272,0.365683183797343,0.0086378705374544,0.04246906662297305,4.2,4.3
2.7,0.013,0.0798816568047337,0.6122649673511611,0.6090784582273933,0.3580974199251288,0.0079974118159071,0.042496830666691375,4.2,4.3
2.7,0.02,0.0519230769230769,0.5016895013199842,0.4876970396001774,0.3553743576996562,0.0067597460224973,0.042612171888717465,4.2,4.3
2.7,0.032,0.032451923076923,0.3741128000859202,0.3721833721833748,0.3541482574218708,0.0066281928930993,0.04234283467628688,4.2,4.3
2.7,0.05,0.0207692307692307,0.2890972750142788,0.2491609081934922,0.3521389832505963,0.0053706598403642,0.04586366103305459,4.2,4.3
2.7,0.08,0.0129807692307692,0.2624999999999969,0.1591226321036973,0.349126718585838,0.0061541836249686,0.054959099168863615,4.2,4.3
2.7,0.13,0.0079881656804733,0.2317971093537037,0.0866904640489525,0.3493636328657424,0.0055006623579946,0.07912085045741706,4.2,4.3
2.7,0.2,0.0051923076923076,0.1935285685029697,0.0583693638048167,0.3432722384959308,0.0045351553652097,0.09696567777312587,4.2,4.3
3.5,0.002,0.673076923076923,0.8980075024853215,0.742671009771961,0.44989486059426,0.0112146122098469,0.06013799663464209,4.2,4.3
3.5,0.0032,0.4206730769230769,0.8284959218359725,0.7649133117836988,0.4442540072223079,0.0094557455702063,0.054061053030338375,4.2,4.3
3.5,0.005,0.2692307692307692,0.7719857858361783,0.7530021834060926,0.4284174885326315,0.0089877533220496,0.05068800508820353,4.2,4.3
3.5,0.008,0.1682692307692307,0.7375354397018681,0.7260802469135613,0.4104438785412367,0.007900863328878,0.04897928096006391,4.2,4.3
3.5,0.013,0.1035502958579881,0.6708206283971683,0.6590257879655885,0.3946110251906008,0.0074730729621479,0.04934229453917097,4.2,4.3
3.5,0.02,0.0673076923076923,0.6095045555752511,0.5883438818565064,0.3845558452716608,0.0062223073179619,0.050085854814422494,4.2,4.3
3.5,0.032,0.0420673076923076,0.4819074569575041,0.4690482683392089,0.37580701372191,0.0061307233831589,0.05072172291611123,4.2,4.3
3.5,0.05,0.0269230769230769,0.3615647767773894,0.3386967015285429,0.3676292636572333,0.0050147285215195,0.05127052680498152,4.2,4.3
3.5,0.08,0.016826923076923,0.301742223843838,0.2236343969713303,0.3597639677828503,0.0052506349349424,0.05788175438506612,4.2,4.3
3.5,0.13,0.0103550295857988,0.2330149698570839,0.1216407355021215,0.3546108748862265,0.0048124122324701,0.07886586800101451,4.2,4.3
3.5,0.2,0.0067307692307692,0.2213736233327787,0.0802246289610919,0.3434691434052729,0.004000991140775,0.10081481007908762,4.2,4.3
4.5,0.002,0.8653846153846153,0.9228008353593896,0.6892570281124607,0.4673899901297483,0.0118843957274381,0.07855885017769762,4.2,4.3
4.5,0.0032,0.5408653846153846,0.8748365331677312,0.7911646586345165,0.4876839678380501,0.0089420639431298,0.05829296111009205,4.2,4.3
4.5,0.005,0.3461538461538461,0.8041748125798331,0.7813341310200216,0.474437802075121,0.0083133991332629,0.05316980216380256,4.2,4.3
4.5,0.008,0.2163461538461538,0.772375640226733,0.7161781285230868,0.4512012968156107,0.0073460736577318,0.052830941340078895,4.2,4.3
4.5,0.013,0.1331360946745562,0.7387749466934322,0.67375489647451,0.4278969987228103,0.0069545420656844,0.05307673942823446,4.2,4.3
4.5,0.02,0.0865384615384615,0.6705097561356291,0.6031478358628097,0.4108898461891551,0.0058232226616172,0.0535629008334678,4.2,4.3
4.5,0.032,0.0540865384615384,0.5458089668615635,0.5103528725575636,0.3951290100652262,0.0057030561021338,0.05351526818657769,4.2,4.3
4.5,0.05,0.0346153846153846,0.4333981089863793,0.3834151979196581,0.3814130431339154,0.0047230512855071,0.054762648267343034,4.2,4.3
4.5,0.08,0.0216346153846153,0.3367360466657839,0.2683368548143636,0.3686518147072598,0.0046476925001233,0.05897532208342197,4.2,4.3
4.5,0.13,0.0133136094674556,0.2778052072018808,0.1594860166288749,0.3586101857686184,0.0042996002894398,0.0777482035315063,4.2,4.3
4.5,0.2,0.0086538461538461,0.2415534384923735,0.1048824593128419,0.3428483200806287,0.003612858372525,0.09777751982655297,4.2,4.3
4.5,0.32,0.0054086538461538,0.1634222542658005,0.048124557678699,0.2783597328768265,0.0041349605829147,0.14855167036626205,4.2,4.3
6.5,0.0032,0.78125,0.9356083571056184,0.7127409496944045,0.5148936490388925,0.0089361579354883,0.07527900028459922,4.2,4.3
6.5,0.005,0.5,0.8276121012012136,0.77232854864431,0.5278136940635227,0.0076170599632941,0.06263614245550553,4.2,4.3
6.5,0.008,0.3125,0.764548435686888,0.7805642633228573,0.5042671895164539,0.0066982381291962,0.059365514003854675,4.2,4.3
6.5,0.013,0.1923076923076923,0.7492326640899705,0.7275362318840274,0.4722631623749406,0.0063292126185675,0.058533284516792114,4.2,4.3
6.5,0.02,0.125,0.6963204471355082,0.6593164277838744,0.4460077968210465,0.0053240207458068,0.059699370560939054,4.2,4.3
6.5,0.032,0.078125,0.6177144153995187,0.5538290788013145,0.4207380427941748,0.0051957606733249,0.0615544372873696,4.2,4.3
6.5,0.05,0.05,0.5176669127729108,0.4600674915635477,0.3992892220126601,0.0043832928324333,0.06224139528347347,4.2,4.3
6.5,0.08,0.03125,0.3888057123114236,0.3305914610262478,0.3797513990698652,0.0040625963621468,0.06503864618057603,4.2,4.3
6.5,0.13,0.0192307692307692,0.242572604873714,0.1730158730158815,0.3629696152219768,0.0037549628487393,0.08253219527113048,4.2,4.3
6.5,0.2,0.0125,0.2785680417259353,0.1339794754846124,0.3409135361260937,0.0032328269332305,0.10432973683096346,4.2,4.3
6.5,0.32,0.0078125,0.1859439016703427,0.0536363636363639,0.2707521663125876,0.0036635872739772,0.17011451110405812,4.2,4.3
8.5,0.005,0.6538461538461539,0.8778430950466597,0.704785077047867,0.5477110361433615,0.0073721036590293,0.09631079281075357,4.2,4.3
