x,Q2,y,gen,rec,gen_rec,purity,stability
0.0005,2.0,0.7692307692307692,5807235.460316273,2085276.6900809093,382290.48935148265,0.18332842407433694,0.06583003082342082
0.0008,2.0,0.4807692307692307,6959221.182409027,4372781.585029743,984493.9023432627,0.22514133925958857,0.14146610325186806
0.001,2.0,0.3846153846153846,7505167.800981286,5955643.209836434,1612268.5855257697,0.2707127557377718,0.2148211243611327
0.002,2.0,0.1923076923076923,7962893.537395499,6729079.750692383,1873095.5414712513,0.27835835075049015,0.23522800256901374
0.0032,2.0,0.12019230769230768,7838872.876970419,7328726.036665193,1899945.3751715214,0.2592463363572611,0.2423748165062495
0.005,2.0,0.07692307692307693,7841430.003989493,8042164.474986787,2118579.7353022965,0.26343402225751883,0.2701777270503498
0.008,2.0,0.04807692307692307,7782616.082550795,8024264.58585327,2032915.9801633356,0.25334608030589545,0.2612124199112538
0.013,2.0,0.02958579881656805,7588274.429101185,8085635.634311042,2165886.585155162,0.26786843769762725,0.2854254422914574
0.02,2.0,0.019230769230769232,7606174.318234702,8205820.604207511,2261778.84837043,0.27563103770641895,0.2973609009917302
0.032,2.0,0.012019230769230768,7749373.431302835,8717246.008022273,2562241.273111603,0.293927838075653,0.3306385084969167
0.05,2.0,0.007692307692307693,7705902.27197858,8939716.058681695,2697769.0051225154,0.3017734553775464,0.3500912560145707
0.0008,2.7,0.6490384615384616,4908405.313111828,2663196.1982359155,536996.6740054267,0.2016361672343667,0.10940349049230856
0.0013,2.7,0.3994082840236687,5400652.264283537,3807562.1314005507,1002393.7914767761,0.26326393552718247,0.18560606060604348
0.002,2.7,0.25961538461538464,5918470.485645984,4687213.825961943,1417926.9320761953,0.3025095471903713,0.23957658241518331
0.0032,2.7,0.1622596153846154,6059112.471695044,5156446.633961988,1562404.6086538394,0.3030002479543468,0.257860308081846
0.005,2.7,0.10384615384615385,6001577.113765883,5887784.9614170985,1680032.4515312135,0.28534201954394334,0.2799318278653297
0.008,2.7,0.06490384615384616,5866049.381754971,6002855.67727542,1667246.8164358467,0.2777422790202042,0.28421970357451193
0.013,2.7,0.03994082840236687,5936370.374779501,6186968.822648735,1833460.0726756144,0.296342219466799,0.3088520353219565
0.02,2.7,0.025961538461538463,5664036.34724814,6273911.1412972445,1841131.4537328344,0.29345832484202944,0.3250564334085434
0.032,2.7,0.01622596153846154,5702393.252534247,6519395.335128331,2032915.9801633356,0.31182584820549447,0.356502242152428
0.05,2.7,0.010384615384615384,5592436.790714073,6661315.884686927,2218307.689046175,0.33301343570053993,0.3966620941929197
0.08,2.7,0.006490384615384616,5632072.259509717,6165233.242986607,2108351.227226001,0.3419742845292027,0.37434733257657765
0.0008,3.5,0.8413461538461539,2787268.450790099,1109700.556660462,157263.31167301774,0.14171688995659035,0.05642201834862328
0.0013,3.5,0.5177514792899408,3839526.2191389734,2492769.721811989,575353.5792915269,0.23080895690328895,0.1498501498501427
0.002,3.5,0.3365384615384615,4119531.627727556,3183717.5211604196,918008.5998473556,0.28834486531730824,0.22284295468651463
0.0032,3.5,0.21033653846153846,4471136.5928502055,3587649.2077602027,1144314.341035347,0.31895937277261044,0.25593365742062546
0.005,3.5,0.1346153846153846,4565750.292555937,4275516.375891059,1388519.9713568517,0.3247607655502128,0.30411649397925117
0.008,3.5,0.08413461538461538,4423829.74299734,4619449.959956487,1382127.1538091684,0.29919734292828826,0.31242774566471365
0.013,3.5,0.05177514792899409,4264009.304305227,4627121.341013708,1384684.2808282417,0.29925393755178364,0.3247376311843815
0.02,3.5,0.03365384615384615,4288302.010986428,4633514.158561393,1476740.8535148823,0.31870860927149486,0.34436493738816476
0.032,3.5,0.021033653846153844,4252502.232719394,4656528.301733057,1621218.5300925265,0.34816035145521285,0.3812387251953982
0.05,3.5,0.013461538461538462,3967382.570092664,4642464.103128151,1584140.188315963,0.34122831175981505,0.39929100870122614
0.08,3.5,0.008413461538461538,4030032.1820599725,4611778.578899265,1650625.49081187,0.35791516495699577,0.40958121827407934
0.13,3.5,0.005177514792899409,2995674.3028446147,3243715.6236947747,996000.9739290928,0.30705557745367074,0.33247972684591115
0.0013,4.5,0.6656804733727811,3590206.3347792765,1904319.7357135706,402747.5055040704,0.21149153577046567,0.11217948717948296
0.002,4.5,0.43269230769230765,3991675.2767738653,2715900.449368567,842573.3527846918,0.3102372006973178,0.21108263933374682
0.0032,4.5,0.2704326923076923,4186016.930223475,3210567.3548606946,1167328.484207007,0.36358947039055567,0.27886377519851263
0.005,4.5,0.17307692307692307,4376522.893144474,3862729.1271383967,1393634.2253949984,0.360790047534976,0.3184341221150772
