Q2,x,y,gen,rec,gen_rec,purity,stability
2.0,0.00032,0.625,7152523.853960744,3423942.3802443766,707314.5864301738,0.20657899809040908,0.09889021006738692
2.0,0.0005,0.4,7949138.678757676,5274596.539668491,1372105.2498284623,0.2601346357980774,0.17261055634808734
2.0,0.0008,0.25,8768432.92917185,6513460.163996816,1787422.2314397423,0.2744197686691519,0.20384739734886223
2.0,0.001,0.2,8571405.419124082,7360465.837586507,1957517.923567229,0.2659502763495059,0.2283777079543706
2.0,0.002,0.1,8509036.998677306,8142835.148167877,2147458.1131095975,0.26372363851585173,0.25237381309346885
2.0,0.0032,0.0625,8285077.670709407,8172460.147880096,2185729.6438382883,0.26745063350419124,0.26381522668949653
2.0,0.005,0.04,7960478.391566173,8231710.147304533,2045400.697833097,0.2484782215640649,0.2569444444444598
2.0,0.008,0.025,7977487.960778919,8169766.966088076,2170137.5387265994,0.26563028636369107,0.272032693674502
2.0,0.013,0.015384615384615385,7743606.384103663,8541426.053386817,2384174.6179870553,0.27913074504013186,0.30788943803773
2.0,0.02,0.01,7545161.409954961,8812090.823484814,2368582.5128753665,0.2687878007978464,0.31392072139772886
2.0,0.032,0.00625,7530986.76894434,8673391.961195791,2489066.9614656894,0.28697734088366095,0.3305100696405281
2.7,0.00032,0.84375,4228295.413469516,1442325.9935200461,215454.5433614961,0.1493799212726326,0.05095541401273699
2.7,0.0005,0.54,5743564.537504961,3469158.7690908792,761178.222270549,0.21941291043016226,0.13252714708786217
2.7,0.0008,0.3375,6279365.967706456,4573022.682847776,1322494.0062912786,0.28919471824437065,0.21060948081264974
2.7,0.0013,0.2076923076923077,6694682.949317668,5284136.216264118,1564880.3675729472,0.29614686365510023,0.23374973533771934
2.7,0.002,0.135,6620974.8160624355,5884602.21556059,1693869.6007696246,0.2878477658677665,0.25583386855064144
2.7,0.0032,0.084375,6469306.157248785,6346482.892891694,1747733.2366099954,0.27538611008745084,0.2701577563540844
2.7,0.005,0.054000000000000006,6130532.237094929,6337056.75661963,1749150.7007110578,0.27601941530410173,0.28531791907515136
2.7,0.008,0.03375,6088008.314063065,6355909.029163756,1902236.8236257958,0.29928635147191085,0.3124563445867349
2.7,0.013,0.02076923076923077,5754904.250313458,6237409.0303149605,1890897.1108172967,0.3031542587037642,0.3285714285714316
2.7,0.02,0.013500000000000002,5784670.996435763,6656198.798973775,2066662.659349033,0.31048691930109756,0.3572653761333032
2.7,0.032,0.0084375,5607487.983802994,6724874.934670236,2042565.7696309723,0.3037329005332844,0.36425682507583473
2.7,0.05,0.0054,5513935.3531328915,6533659.027436951,1924916.249242794,0.29461535123878474,0.34910025706940884
3.5,0.0005,0.7,4119150.6776877046,1886019.747261722,347278.70476030465,0.18413312228809497,0.08430832759806942
3.5,0.0008,0.4375,4513205.697783009,3045988.606773207,824964.1068183618,0.2708362417981249,0.1827889447236148
3.5,0.0013,0.2692307692307692,4873241.579452797,3646568.14639344,1193504.7730946012,0.32729534323251613,0.2449098312972649
3.5,0.002,0.175,5101453.299723804,4224369.181104997,1302649.5088764052,0.30836545127328624,0.2553487079744377
3.5,0.0032,0.109375,4956871.961415464,4659204.500192356,1441560.9907805193,0.3094006693033122,0.29082070346010575
3.5,0.005,0.07,4782523.876984819,4880045.40713784,1427386.3497698954,0.29249448123620253,0.2984588026081749
3.5,0.008,0.04375,4676214.069405157,4866579.498177749,1528026.300945325,0.3139836309090362,0.3267656865716798
3.5,0.013,0.026923076923076925,4499031.056772388,4714414.726928727,1465657.88049858,0.310888618289508,0.32577189666035455
3.5,0.02,0.0175,4284993.977512002,5014704.496738745,1573385.1521793215,0.3137543105885012,0.36718491564669054
3.5,0.032,0.0109375,4072374.362352638,5052409.041826998,1614491.6111101308,0.3195488721804511,0.39644970414199054
3.5,0.05,0.007,3946220.0573580647,4699602.227072627,1484084.913812391,0.3157894736842068,0.3760775862068786
4.5,0.0005,0.9,2534425.8126996933,914673.3159618506,155921.05111687208,0.17046638225464017,0.06152125279642081
4.5,0.0008,0.5625,4382799.000485291,2351744.9026073967,642111.2377812986,0.2730360920818347,0.14650711513582987
4.5,0.0013,0.34615384615384615,4542972.443905314,3041283.485130553,1013486.832259675,0.33324313146565127,0.22308892355693943
4.5,0.002,0.225,4826465.264117746,3777187.4633063604,1408959.3164560844,0.37301810676421976,0.291923641703373
4.5,0.0032,0.140625,4759844.451367824,4306511.22576155,1554958.1188655104,0.36107141891648886,0.3266825491363832
4.5,0.005,0.09,4728660.241144457,4571676.091951768,1547870.7983601985,0.3385784047748169,0.32733812949639496
4.5,0.008,0.05625,4559982.01311806,4668630.636464419,1583307.4008867582,0.33913743111744776,0.34721790488031157
4.5,0.013,0.03461538461538462,4265149.480097132,4414124.957118709,1518104.0522378883,0.3439195915352657,0.3559322033898132
4.5,0.02,0.0225,4066704.5059483876,4531278.365071496,1635753.5726260666,0.36099163212636953,0.4022307424189395
4.5,0.032,0.0140625,3832822.929273055,4608034.046144012,1586142.329088883,0.3442123719585279,0.4138313609467254
4.5,0.05,0.009,3845580.1061826185,4731920.408576844,1604569.362402694,0.33909474882424717,0.4172502764467173
4.5,0.08,0.005625,3683989.1986614796,3859329.5079629393,1292727.2601689685,0.3349616189811441,0.3509041939207262
6.5,0.0008,0.8125,2724366.0022420846,1300318.4359338637,262230.8586965578,0.20166664676120558,0.09625390218522344
6.5,0.0013,0.5,3340962.886204325,2111527.1216276614,644946.1659834236,0.30544062606511524,0.19304200254560394
6.5,0.002,0.325,3550747.573161593,2563566.155614866,990807.4066426749,0.3864957432335238,0.2790419161676587
6.5,0.0032,0.203125,3689659.05506573,3084033.772832165,1238863.6243285977,0.40170235334060894,0.33576642335765294
6.5,0.005,0.13,3662727.2371455403,3347624.967479333,1289892.3319668437,0.3853156624465303,0.3521671826625263
