Q2,x,y,sigma_red_0,sigma_red_unc
2.0,0.0005,0.7692307692307692,0.43070358846027357,0.033820790775661816
2.0,0.0008,0.4807692307692307,0.39569618394823525,0.02124043198782481
2.0,0.001,0.3846153846153846,0.3840975539393742,0.019121165636640614
2.0,0.002,0.1923076923076923,0.34873525899433916,0.011688449361293042
2.0,0.0032,0.1201923076923076,0.3301128086755399,0.01095709183807457
2.0,0.005,0.0769230769230769,0.31914336573346364,0.010861189020205301
2.0,0.008,0.048076923076923,0.3129114699340704,0.009376964846928383
2.0,0.013,0.029585798816568,0.309572879600596,0.008761401892244584
2.0,0.02,0.0192307692307692,0.3091055235925697,0.0077840217562752225
2.0,0.032,0.0120192307692307,0.3105220541928323,0.007305974442749364
2.0,0.05,0.0076923076923076,0.31106447937890647,0.005879599214722735
2.7,0.0008,0.6490384615384616,0.4667316566297928,0.025197230263173973
2.7,0.0013,0.3994082840236687,0.4412595876261944,0.015876430635672067
2.7,0.002,0.2596153846153846,0.41631009161468197,0.010622156163453807
2.7,0.0032,0.1622596153846154,0.3937975945452378,0.010080812239028085
2.7,0.005,0.1038461538461538,0.3780239614931187,0.009815168262081047
2.7,0.008,0.0649038461538461,0.36647334694057326,0.008618791124651165
2.7,0.013,0.0399408284023668,0.35839569055334036,0.007990609981207717
2.7,0.02,0.0259615384615384,0.3554986152072009,0.00675674065471344
2.7,0.032,0.0162259615384615,0.35419457126920023,0.006627302459795195
2.7,0.05,0.0103846153846153,0.3521559956755384,0.005370405530455898
2.7,0.08,0.0064903846153846,0.3491320142401354,0.006154145417503168
3.5,0.0008,0.8413461538461539,0.5194345150084416,0.02601904633682348
3.5,0.0013,0.5177514792899408,0.5086362569478747,0.01390246618461298
3.5,0.002,0.3365384615384615,0.48406042611713207,0.009237511969584722
3.5,0.0032,0.2103365384615384,0.4560989142579744,0.008987002759394808
3.5,0.005,0.1346153846153846,0.4327647394926815,0.008884564565897658
