Q2,x,y,gen,rec,gen_rec,purity,stability
2.0,0.0005,0.7692307692307692,5807235.460316273,2495847.2723840666,2277121.610484873,0.9123641641380308,0.39211800968732485
2.0,0.0008,0.4807692307692307,6959221.182409027,4508726.360030608,3895783.0135585973,0.8640539927404577,0.5598015800110007
2.0,0.001,0.3846153846153846,7505167.800981286,6376835.503814983,4852148.518692204,0.7609022556390822,0.6465076660987906
2.0,0.002,0.1923076923076923,7962893.537395499,8145344.550206432,4818905.867444244,0.5916147362142116,0.6051701991008172
2.0,0.0032,0.12019230769230768,7838872.876970419,8965223.400696974,3631120.3670844575,0.40502285384234454,0.46321970314791217
2.0,0.005,0.07692307692307693,7841430.003989493,9661209.44711339,2505984.4786919793,0.2593862075354061,0.3195825860100781
2.0,0.008,0.04807692307692307,7782616.082550795,9661209.44711339,1631447.0381688199,0.16886571470161735,0.2096270740923024
2.0,0.013,0.02958579881656805,7588274.429101185,7126265.504930041,1088057.5466157333,0.15268271240567746,0.14338668913224997
2.0,0.02,0.019230769230769232,7606174.318234702,4621687.446098194,661017.3344304841,0.1430251054706307,0.08690536224574695
2.0,0.032,0.012019230769230768,7749373.431302835,3026871.252477333,442382.9742997091,0.14615189659541752,0.057086289391184375
2.0,0.05,0.007692307692307693,7705902.27197858,1730855.351035295,265941.20998364,0.15364727608495404,0.03451136552181533
2.7,0.0008,0.6490384615384616,4908405.313111828,2535930.2384080486,2309085.6982232956,0.9105477994823877,0.4704350091169189
2.7,0.0013,0.3994082840236687,5400652.264283537,3850483.6722632404,3310200.926190694,0.8596844469269029,0.6129261363636107
2.7,0.002,0.25961538461538464,5918470.485645984,5397839.424562573,4038982.126626731,0.7482590364299396,0.6824368114063321
2.7,0.0032,0.1622596153846154,6059112.471695044,6209215.827714695,3716784.1222234303,0.5985915492957498,0.6134205528592301
2.7,0.005,0.10384615384615385,6001577.113765883,6605186.946618275,2825625.356076206,0.4277888542614029,0.47081380485723295
2.7,0.008,0.06490384615384616,5866049.381754971,6952572.652159452,2035473.107182409,0.2927654566184498,0.34699215344372836
2.7,0.013,0.03994082840236687,5936370.374779501,6760660.269377963,1388519.9713568517,0.2053823023242384,0.23390049536934873
2.7,0.02,0.025961538461538463,5664036.34724814,5145195.275078081,866866.0594658887,0.1684806918145072,0.1530474040631914
2.7,0.032,0.01622596153846154,5702393.252534247,3351178.8866713694,558732.2536675502,0.16672707502717737,0.0979820627802615
2.7,0.05,0.010384615384615384,5592436.790714073,2095245.9512532658,334983.63949862355,0.1598779557589666,0.05989940557841352
2.7,0.08,0.006490384615384616,5632072.259509717,1181840.180040247,202013.03450680338,0.1709309244333899,0.03586833144154102
3.5,0.0008,0.8413461538461539,2787268.450790099,1080658.432388428,1010065.1725339962,0.9346756960953801,0.3623853211009065
3.5,0.0013,0.5177514792899408,3839526.2191389734,2297054.743293607,2036751.6706919456,0.8866796390631819,0.5304695304694895
3.5,0.002,0.3365384615384615,4119531.627727556,3308666.6499792673,2736125.9104086226,0.8269572609938712,0.6641837368094059
3.5,0.0032,0.21033653846153846,4471136.5928502055,4335033.50726002,3154216.178027191,0.7276105646576259,0.7054618244209087
3.5,0.005,0.1346153846153846,4565750.292555937,4683633.848135257,2789825.5778091727,0.5956540729416571,0.6110333239988494
3.5,0.008,0.08413461538461538,4423829.74299734,4715214.366820819,2128808.2433785917,0.45147645001215864,0.4812138728323279
3.5,0.013,0.05177514792899409,4264009.304305227,4950853.621628471,1438383.948228782,0.29053251381640693,0.33733133433280604
3.5,0.02,0.03365384615384615,4288302.010986428,4567028.856065491,943579.8700380891,0.20660694288912068,0.22003577817529688
3.5,0.032,0.021033653846153844,4252502.232719394,3328100.8153242283,608596.2305394805,0.1828659239339149,0.14311485267587848
3.5,0.05,0.013461538461538462,3967382.570092664,2192416.7779780705,354162.09214167454,0.16153958302959903,0.08926844988720171
3.5,0.08,0.008413461538461538,4030032.1820599725,1272937.8300947351,222470.0506593911,0.1747689835275257,0.055203045685276474
3.5,0.13,0.005177514792899409,2995674.3028446147,589098.137019045,72878.1200435934,0.12371134020618592,0.024327784891164647
4.5,0.0013,0.6656804733727811,3590206.3347792765,1711143.8340586706,1598204.3869208663,0.9339976892124127,0.4451566951566651
4.5,0.002,0.43269230769230765,3991675.2767738653,2570437.356750306,2330821.277885423,0.9067800356092632,0.5839205637411542
4.5,0.0032,0.2704326923076923,4186016.930223475,3659696.261522625,3018688.446016279,0.8248467168585042,0.7211362248014422
4.5,0.005,0.17307692307692307,4376522.893144474,4291306.635233858,3028916.9540925743,0.7058262696083267,0.6920829681565626
4.5,0.008,0.10817307692307691,4187295.493733012,4315599.341915059,2490641.7165775364,0.5771253351503913,0.5948091603053088
4.5,0.013,0.06656804733727811,4196245.4382997705,4390906.732626783,2035473.107182409,0.4635655528863222,0.48507007921994655
4.5,0.02,0.04326923076923077,4035146.43609812,4344750.5899325,1318198.9783323347,0.3034003796182957,0.32667934093787143
4.5,0.032,0.02704326923076923,4000625.2213406237,3880759.8923215563,926958.5444141123,0.23886006095048185,0.23170341962286717
4.5,0.05,0.01730769230769231,3794776.4963051816,2686773.3589405157,525489.6024195966,0.19558389644998367,0.13847708894878114
4.5,0.08,0.010817307692307692,3775598.043662128,1661621.136993884,355440.6556512113,0.21391197291474967,0.09414155096511621
4.5,0.13,0.006656804733727811,2699047.5686320523,857532.5458462697,130413.47797274636,0.15207991650514643,0.04831833254381779
6.5,0.002,0.625,2757861.49007075,1455842.074797085,1338655.9944849215,0.9195063239750803,0.48539638386646444
6.5,0.0032,0.390625,3129923.47134599,2261153.663030918,2016294.6545393588,0.8917105845149228,0.6441993464051927
6.5,0.005,0.25,3218144.3535040366,2894744.9909443427,2353835.4210570874,0.8131408564210707,0.7314263011521354
6.5,0.008,0.15625,3346000.7044577273,3407052.1120381323,2362785.3656238457,0.693498452012348,0.706152082537225
6.5,0.013,0.09615384615384616,3221980.0440326473,3199349.4699138617,1911452.4467573515,0.5974503456819348,0.5932539682539335
6.5,0.02,0.0625,3146544.7969699698,3204208.011250102,1521490.5763486659,0.4748413870156531,0.48354327509140077
6.5,0.032,0.0390625,3115859.272741084,3077885.9365078555,1031800.7521961196,0.3352303410459688,0.3311448502256727
6.5,0.05,0.025,2773204.252185193,2502148.7881633863,613710.4845776272,0.24527337761880244,0.22130013831258324
6.5,0.08,0.015625,2746354.418484918,1690772.3850113202,396354.6879563867,0.23442226255294143,0.14432029795158188
6.5,0.13,0.009615384615384616,2114744.0447736857,861176.4518484492,143199.1130681137,0.16628312671665346,0.06771463119710001
6.5,0.2,0.00625,1898666.8116619848,579381.0543465662,90778.00917710765,0.15668101070285828,0.04781144781144921
8.5,0.002,0.8173076923076923,1307970.4702560413,577415.6656585693,539553.8010245,0.9344287540399756,0.41251221896384244
8.5,0.0032,0.5108173076923077,1605875.7679780864,986568.4466503648,897551.5836947688,0.909771224431686,0.5589171974522358
8.5,0.005,0.3269230769230769,1694096.650136117,1332755.0823716363,1153264.2856021037,0.8653234948088669,0.6807547169811365
8.5,0.008,0.20432692307692307,1703046.5947028736,1687434.6456891908,1267056.4379508677,0.7508773398648396,0.7439939939939976
8.5,0.013,0.1257396449704142,1723503.6108554604,1720606.3343757843,1172442.7382451538,0.6814125432535398,0.6802670623145444
8.5,0.02,0.08173076923076923,1669803.94345492,1628727.9579289726,934629.9254713324,0.5738404138772024,0.5597243491577397
8.5,0.032,0.05108173076923077,1564961.7356729128,1546230.7802581992,672524.4060163142,0.4349443916153395,0.42973856209151184
8.5,0.05,0.032692307692307694,1490805.0521197857,1385898.9161623004,452611.48237600294,0.32658332948937696,0.30360205831904824
8.5,0.08,0.020432692307692308,1430712.567171562,1091957.165319819,296626.7342125216,0.27164685908319836,0.2073279714030442
8.5,0.13,0.01257396449704142,1066321.9669536098,583024.9603487458,103563.64427247498,0.1776315789473691,0.09712230215827533
8.5,0.2,0.008173076923076924,976822.5212860426,414190.6489144241,84385.19162942399,0.20373514431239323,0.08638743455497531
8.5,0.32,0.005108173076923077,648231.6993351174,184624.57077710383,35799.77826702833,0.1939058171745146,0.05522682445759392
10.0,0.0032,0.6009615384615384,968009.8769120916,487348.0460453934,426188.87115900556,0.8745061658035431,0.4402732671680263
10.0,0.005,0.38461538461538464,1083927.596621603,758844.5121969577,656776.0786982257,0.8654949309665163,0.6059224626674995
10.0,0.008,0.24038461538461536,1119938.8884387983,999611.8098641603,805038.1229615833,0.8053507521794705,0.7188232601546781
10.0,0.013,0.14792899408284024,1142146.380170346,1094046.297072811,797882.66319541,0.7292951544465667,0.6985817904325096
10.0,0.02,0.09615384615384616,1091263.0193712143,1060259.9590460944,704157.269402553,0.6641364350268177,0.6452681497520995
10.0,0.032,0.06009615384615384,1054100.3159619304,984468.2330579659,539511.8185983303,0.5480235933286469,0.5118220822332199
10.0,0.05,0.038461538461538464,953997.2704362923,945538.7983012996,388356.68900828075,0.41072528140144005,0.40708364797592483
