Q2,x,y,sigma_red_0,sigma_red_unc_+,sigma_red_unc_-
3.5,0.0005,0.7,0.67258,0.0078319,0.0084265
3.5,0.0008,0.4375,0.64381,0.0060071,0.0093808
3.5,0.0013,0.26923,0.60023,0.0058865,0.0096072
3.5,0.002,0.175,0.5617,0.0059435,0.0095664
3.5,0.0032,0.10938,0.52335,0.0060914,0.009352
3.5,0.005,0.07,0.49136,0.0062155,0.0089117
3.5,0.008,0.04375,0.46249,0.0062281,0.0081536
3.5,0.013,0.026923,0.43773,0.0060737,0.0071354
3.5,0.02,0.0175,0.42,0.0058445,0.0061975
3.5,0.032,0.010937,0.40495,0.0057232,0.0054661
3.5,0.05,0.007,0.39458,0.0060724,0.0052421
4.5,0.0005,0.9,0.70493,0.0090436,0.0086603
4.5,0.0008,0.5625,0.70027,0.0060061,0.008845
4.5,0.0013,0.34615,0.65844,0.0058081,0.0089242
4.5,0.002,0.225,0.61496,0.0058209,0.0088556
4.5,0.0032,0.14062,0.56947,0.0059209,0.0087067
4.5,0.005,0.09,0.53055,0.006008,0.0083687
4.5,0.008,0.05625,0.49467,0.0059821,0.0077157
4.5,0.013,0.034615,0.46322,0.0058036,0.0067798
4.5,0.02,0.0225,0.44006,0.0055695,0.0058967
4.5,0.032,0.014063,0.41973,0.0054723,0.0052287
4.5,0.05,0.009,0.4049,0.0058607,0.0050778
4.5,0.08,0.005625,0.39218,0.0069084,0.0053208
6.5,0.0008,0.8125,0.75406,0.0064271,0.0084953
6.5,0.0013,0.5,0.73813,0.0058735,0.0081825
6.5,0.002,0.325,0.69285,0.0058165,0.008032
6.5,0.0032,0.20312,0.63787,0.0058222,0.0079416
6.5,0.005,0.13,0.58846,0.0058282,0.0077285
6.5,0.008,0.08125,0.54186,0.0057306,0.0072046
6.5,0.013,0.05,0.5002,0.0054945,0.0063672
6.5,0.02,0.0325,0.46891,0.0052347,0.0055396
6.5,0.032,0.020313,0.44067,0.0051407,0.0049276
6.5,0.05,0.013,0.41921,0.0055381,0.0048437
6.5,0.08,0.008125,0.40029,0.006538,0.0051041
8.5,0.0013,0.65385,0.7817,0.0059711,0.0079221
8.5,0.002,0.425,0.74629,0.0058972,0.0076283
8.5,0.0032,0.26562,0.68748,0.0058412,0.0075367
8.5,0.005,0.17,0.63088,0.0057785,0.0073751
8.5,0.008,0.10625,0.57629,0.0056242,0.0069272
8.5,0.013,0.065385,0.52694,0.0053347,0.0061442
8.5,0.02,0.0425,0.48957,0.0050418,0.0053453
8.5,0.032,0.026562,0.45548,0.0049338,0.0047486
8.5,0.05,0.017,0.42914,0.0053116,0.0046869
8.5,0.08,0.010625,0.40562,0.0062437,0.0049351
8.5,0.13,0.0065385,0.38094,0.0069073,0.0050866
10.0,0.0013,0.76923,0.79524,0.0060186,0.0079007
10.0,0.002,0.5,0.77486,0.0059594,0.007469
10.0,0.0032,0.3125,0.71673,0.0058851,0.0073562
10.0,0.005,0.2,0.65642,0.0057855,0.0072125
10.0,0.008,0.125,0.59708,0.0055897,0.0067957
10.0,0.013,0.076923,0.54304,0.0052648,0.006039
10.0,0.02,0.05,0.50194,0.0049475,0.0052508
10.0,0.032,0.03125,0.46425,0.0048242,0.0046588
10.0,0.05,0.02,0.43493,0.0051812,0.0046006
10.0,0.08,0.0125,0.40865,0.0060641,0.0048321
10.0,0.13,0.0076923,0.38142,0.0066572,0.0049608
12.0,0.0013,0.92308,0.79291,0.0060691,0.0080181
12.0,0.002,0.6,0.80041,0.0060156,0.0073548
12.0,0.0032,0.375,0.74806,0.0059459,0.0072033
12.0,0.005,0.24,0.68473,0.0058118,0.007069
12.0,0.008,0.15,0.62031,0.005574,0.0066811
12.0,0.013,0.092308,0.561,0.0052073,0.0059475
12.0,0.02,0.06,0.51568,0.00486,0.0051664
12.0,0.032,0.0375,0.47395,0.0047126,0.0045743
12.0,0.05,0.024,0.44127,0.0050418,0.0045131
12.0,0.08,0.015,0.4119,0.0058648,0.0047195
12.0,0.13,0.0092308,0.38183,0.006379,0.0048207
12.0,0.2,0.006,0.34652,0.0052642,0.0044366
15.0,0.002,0.75,0.81604,0.0058795,0.0074642
15.0,0.0032,0.46875,0.78222,0.0059584,0.0071504
15.0,0.005,0.3,0.71829,0.0058591,0.0069612
15.0,0.008,0.1875,0.64841,0.0056123,0.006556
15.0,0.013,0.11539,0.58279,0.0052149,0.0058196
15.0,0.02,0.075,0.53229,0.004838,0.0050343
15.0,0.032,0.046875,0.48557,0.0046527,0.0044328
15.0,0.05,0.03,0.44878,0.0049261,0.0043665
15.0,0.08,0.01875,0.41566,0.0056557,0.0045529
15.0,0.13,0.011539,0.38218,0.0060613,0.0046365
15.0,0.2,0.0075,0.34402,0.0049366,0.00424
18.0,0.002,0.9,0.8092,0.007516,0.0065429
18.0,0.0032,0.5625,0.80387,0.006748,0.006583
18.0,0.005,0.36,0.74405,0.0060993,0.0068245
18.0,0.008,0.225,0.67095,0.0054545,0.0067435
18.0,0.013,0.13846,0.60043,0.0048007,0.0062132
18.0,0.02,0.09,0.54576,0.0043043,0.0055177
18.0,0.032,0.05625,0.49498,0.0040996,0.0049284
18.0,0.05,0.036,0.45484,0.0044465,0.0047629
18.0,0.08,0.0225,0.41865,0.0052303,0.0047806
18.0,0.13,0.013846,0.3824,0.0056741,0.00467
18.0,0.2,0.009,0.34198,0.004658,0.0041261
18.0,0.32,0.005625,0.26676,0.0029023,0.0028948
22.0,0.0032,0.6875,0.81567,0.006017,0.0068248
22.0,0.005,0.44,0.76855,0.0059527,0.00677
22.0,0.008,0.275,0.69433,0.0056315,0.006455
22.0,0.013,0.16923,0.61906,0.0051415,0.005776
22.0,0.02,0.11,0.55995,0.0046925,0.0050057
22.0,0.032,0.06875,0.50483,0.0044442,0.0043851
22.0,0.05,0.044,0.46111,0.0046517,0.0042747
22.0,0.08,0.0275,0.42165,0.0052566,0.0043825
22.0,0.13,0.016923,0.38249,0.0055193,0.0043851
22.0,0.2,0.011,0.33972,0.0044208,0.0039297
22.0,0.32,0.006875,0.26205,0.0027585,0.0028428
27.0,0.0032,0.84375,0.81058,0.0057066,0.0067373
27.0,0.005,0.54,0.78844,0.0058731,0.0067193
27.0,0.008,0.3375,0.71711,0.0056196,0.0064368
27.0,0.013,0.20769,0.63793,0.0051261,0.0057677
27.0,0.02,0.135,0.57447,0.0046549,0.0049914
27.0,0.032,0.084375,0.51492,0.0043756,0.0043527
27.0,0.05,0.054,0.46753,0.0045382,0.0042138
27.0,0.08,0.03375,0.42476,0.0050691,0.0042865
27.0,0.13,0.020769,0.38267,0.0052571,0.0042577
27.0,0.2,0.0135,0.33753,0.004171,0.0037828
27.0,0.32,0.0084375,0.25751,0.0026654,0.0027647
27.0,0.5,0.0054,0.12269,0.0021513,0.0021943
35.0,0.005,0.7,0.79873,0.0057612,0.0066017
35.0,0.008,0.4375,0.74216,0.005631,0.006405
35.0,0.013,0.26923,0.66075,0.0051403,0.0057722
35.0,0.02,0.175,0.59238,0.004633,0.0049888
35.0,0.032,0.10938,0.52736,0.004307,0.0043239
35.0,0.05,0.07,0.47541,0.0044105,0.0041447
35.0,0.08,0.04375,0.42863,0.0048532,0.0041726
35.0,0.13,0.026923,0.38286,0.0049536,0.0041051
35.0,0.2,0.0175,0.33485,0.0038935,0.0036085
35.0,0.32,0.010937,0.25205,0.002563,0.0026672
35.0,0.5,0.007,0.11735,0.0020576,0.0020886
45.0,0.005,0.9,0.78254,0.0054721,0.006383
45.0,0.008,0.5625,0.75808,0.0055895,0.0063458
45.0,0.013,0.34615,0.68047,0.0051504,0.0057805
45.0,0.02,0.225,0.60865,0.0046204,0.004998
45.0,0.032,0.14062,0.53885,0.0042514,0.0043054
45.0,0.05,0.09,0.48266,0.0043,0.0040874
45.0,0.08,0.05625,0.43199,0.0046555,0.0040697
45.0,0.13,0.034615,0.38287,0.0046847,0.0039686
45.0,0.2,0.0225,0.33226,0.0036552,0.0034541
45.0,0.32,0.014063,0.247,0.0024762,0.0026002
45.0,0.5,0.009,0.11258,0.0019739,0.0019949
45.0,0.8,0.005625,0.0035822,0.00034835,0.00051597
60.0,0.008,0.75,0.75767,0.0053982,0.0061626
60.0,0.013,0.46154,0.69793,0.005131,0.0057625
60.0,0.02,0.3,0.62539,0.0046049,0.0050065
60.0,0.032,0.1875,0.55099,0.004197,0.0042906
60.0,0.05,0.12,0.49023,0.0041824,0.0040263
60.0,0.08,0.075,0.43542,0.0044475,0.0039623
60.0,0.13,0.046154,0.38266,0.004405,0.0038243
