x,Q2,y,gen,rec,gen_rec,purity,stability
0.001,2.0,0.7692307692307692,5783936.37009797,5313898.552201475,4466187.73371748,0.8404729013630114,0.7721709659198465
0.002,2.0,0.3846153846153846,6596366.521122635,7036773.215634479,5376632.246125818,0.7640763857757817,0.8150899785372705
0.0032,2.0,0.24038461538461536,7146335.993331022,7715980.190606998,5588996.695790443,0.7243404671507806,0.7820786345626778
0.005,2.0,0.15384615384615385,7390282.848330385,7950053.756677139,5365741.761527632,0.6749315068493746,0.7260536398467973
0.008,2.0,0.09615384615384615,7371769.024513469,7904313.721364758,4627366.905770631,0.58542298153769,0.6277145811789774
0.013,2.0,0.0591715976331361,7519879.615048797,7975101.871252966,3782265.3009512313,0.47425918339485745,0.502968863142723
0.02,2.0,0.038461538461538464,7580866.328798638,8347556.444510923,2877266.0308415988,0.3446836268754545,0.37954316908494645
0.032,2.0,0.024038461538461536,7616804.927972651,7766004.566967797,2065924.9282764113,0.26602159584913077,0.2712324849871525
0.05,2.0,0.015384615384615385,7511167.227370248,5672853.427196474,1340618.6540370774,0.23632175081590495,0.17848339857911066
0.08,2.0,0.009615384615384616,7632051.606410111,3466441.247603706,798272.5210472785,0.23028589381086761,0.10459474885846089
0.13,2.0,0.005917159763313609,5603154.325768084,1670600.3373621798,276618.3087940083,0.16558018252934095,0.049368318756076605
0.0013,2.7,0.7988165680473374,3694052.375705888,2841747.291815723,2513523.8452620353,0.8844994248788496,0.6804245283018576
0.002,2.7,0.5192307692307693,4594695.451976073,4472793.877267247,3596038.0143221733,0.8039802666961378,0.7826499170419663
0.0032,2.7,0.3245192307692308,5161000.651081738,5536937.928091718,4116603.1781156803,0.7434801024642244,0.797636632200937
0.005,2.7,0.2076923076923077,5474646.607509491,5880861.683021824,4171055.601106633,0.7092592592593295,0.7618858165904733
0.008,2.7,0.12980769230769232,5448509.444473845,5836210.696169262,3809491.5124467076,0.6527337189774796,0.6991804917050272
0.013,2.7,0.07988165680473373,5566126.678134252,5828587.356950532,3390207.8554163724,0.581651718983603,0.6090784582273933
0.02,2.7,0.051923076923076926,5665230.087977744,5797076.8044066485,2762915.9425605983,0.476605026253985,0.4876970396001774
0.032,2.7,0.03245192307692308,5606421.47114754,5871060.246883457,2086616.8490129688,0.3554071600816242,0.3721833721833748
0.05,2.7,0.02076923076923077,5516030.448982597,5004249.525658717,1374379.1562914609,0.27464241126356487,0.24916090819349226
0.08,2.7,0.012980769230769231,5461578.025991668,3484955.07142063,869060.6709355094,0.24937499999999707,0.1591226321036973
0.13,2.7,0.007988165680473374,4271248.059409953,1681490.821960368,370276.47633843677,0.22020725388601856,0.08669046404895253
0.2,2.7,0.005192307692307692,3526338.912893754,1119541.816693857,205830.15890577747,0.18385214007782122,0.058369363804816735
0.002,3.5,0.673076923076923,3343378.771644153,2910572.9031568905,2483030.488387102,0.8531071273610553,0.742671009771961
0.0032,3.5,0.4206730769230769,3706031.9087638976,3601698.814993836,2834793.1409086557,0.7870711257441739,0.7649133117836988
0.005,3.5,0.2692307692307692,3990273.5567766703,4097000.3058389374,3004684.700640428,0.7333864965443693,0.7530021834060926
0.008,3.5,0.16826923076923075,4234220.411776121,4387848.097401397,3074383.802068847,0.7006586677167745,0.7260802469135613
0.013,3.5,0.10355029585798818,4180857.0372450044,4323522.385481245,2755292.603341865,0.6372795969773098,0.6590257879655885
0.02,3.5,0.0673076923076923,4129671.759633509,4196103.71568247,2429667.113855968,0.5790293277964884,0.5883438818565064
0.032,3.5,0.04206730769230769,3993540.7021561274,4091555.063539842,1873163.3508884802,0.45781208410962887,0.46904826833920893
0.05,3.5,0.026923076923076925,4061061.7066649087,4004431.186754318,1375468.2047512797,0.34348653793851996,0.3386967015285429
0.08,3.5,0.016826923076923076,4027301.204410518,3141904.8065776285,900643.0762702585,0.2866551126516461,0.22363439697133033
0.13,3.5,0.010355029585798817,3079829.0443679425,1692381.3065585562,374632.6701777125,0.2213642213642297,0.1216407355021215
0.2,3.5,0.006730769230769231,2714997.81032856,1035685.0852878066,217809.69196378576,0.21030494216613985,0.08022462896109193
