x,Q2,y,gen,rec,gen_rec,purity,stability
0.0005,2.0,0.7692307692307692,5807235.460316273,2501625.2839648677,2036751.6706919456,0.8141713644114853,0.3507265521796184
0.0008,2.0,0.4807692307692307,6959221.182409027,3660527.3278038064,3213030.099465889,0.8777506112469318,0.4616939187947546
0.001,2.0,0.3846153846153846,7505167.800981286,4527393.387269829,3229651.4250898687,0.7133578085286415,0.4303236797274004
0.002,2.0,0.1923076923076923,7962893.537395499,5309874.2551064165,2590369.670321415,0.48784011557906487,0.3253050738599568
0.0032,2.0,0.12019230769230768,7838872.876970419,5972170.153046534,2098122.719149706,0.3513166345535898,0.26765617354424964
0.005,2.0,0.07692307692307693,7841430.003989493,6757208.147902195,2011180.400501212,0.2976348155155753,0.2564813305070608
0.008,2.0,0.04807692307692307,7782616.082550795,7399047.029689723,1992001.947858162,0.2692241230343546,0.25595531460486387
0.013,2.0,0.02958579881656805,7588274.429101185,7717409.343564413,1962594.9871388185,0.25430748840288436,0.2586352148272639
0.02,2.0,0.019230769230769232,7606174.318234702,7814580.1702892175,2123693.989340444,0.2717604712041551,0.2792065893427127
0.032,2.0,0.012019230769230768,7749373.431302835,7571653.103477205,2215750.5620271014,0.292637622424823,0.28592641478300607
0.05,2.0,0.007692307692307693,7705902.27197858,6883785.935346349,2091729.9016020226,0.3038632986626682,0.2714451634311924
0.0008,2.7,0.6490384615384616,4908405.313111828,2264713.505045022,1974102.0587246486,0.8716784945764714,0.40218806980980726
0.0013,2.7,0.3994082840236687,5400652.264283537,2930561.946272112,2558405.5825829925,0.8730085319771078,0.47372159090905597
0.002,2.7,0.25961538461538464,5918470.485645984,3542899.484926411,2250271.776784598,0.6351497654276065,0.3802117087923582
0.0032,2.7,0.1622596153846154,6059112.471695044,4278073.5029101325,1784874.6593132208,0.4172145845785658,0.2945769149609299
0.005,2.7,0.10384615384615385,6001577.113765883,4857262.772730351,1570075.9897110595,0.32324295867330494,0.2616105666808411
0.008,2.7,0.06490384615384616,5866049.381754971,5403209.391302611,1553454.6640870827,0.2875059157595546,0.26482127288576096
0.013,2.7,0.03994082840236687,5936370.374779501,5993905.732708662,1677475.3245121401,0.27986348122863863,0.28257592074086985
0.02,2.7,0.025961538461538463,5664036.34724814,6163954.67947707,1662132.5623977,0.2696535988383857,0.2934537246049354
