Q2,x,y,gen,rec,gen_rec,purity,stability
2.0,0.00032,0.625,7152523.853960744,3188954.322397341,2975257.1481301687,0.932988323863315,0.4159730479588133
2.0,0.0005,0.4,7949138.678757676,4307744.276333994,3846997.570283681,0.8930422335927468,0.48395149786025693
2.0,0.0008,0.25,8768432.92917185,5234198.812788219,3380651.8810340785,0.6458776217621796,0.38554801163922114
2.0,0.001,0.2,8571405.419124082,5988289.714553286,2537260.7409018185,0.4237037387712783,0.29601455267076876
2.0,0.002,0.1,8509036.998677306,6501340.845932734,2236758.3514765427,0.34404569833865395,0.262868565717159
2.0,0.0032,0.0625,8285077.670709407,7334880.610562335,2262272.70529567,0.308426656875364,0.273053892215589
2.0,0.005,0.04,7960478.391566173,7421062.427906914,2090759.5490670935,0.2817331843490212,0.2626424501424656
2.0,0.008,0.025,7977487.960778919,7791374.924309403,2116273.90288622,0.27161751596414135,0.2652807391613522
2.0,0.013,0.015384615384615385,7743606.384103663,7429141.973282969,2160215.290019161,0.29077587933947546,0.2789676002196759
2.0,0.02,0.01,7545161.409954961,6882426.069503294,1954682.9953651042,0.28401075080580906,0.2590644373473744
2.0,0.032,0.00625,7530986.76894434,6296659.029739358,1773247.5904291184,0.2816172166944411,0.23546019198194454
2.7,0.00032,0.84375,4228295.413469516,1697401.6638998853,1387697.3549401485,0.8175421200847819,0.32819309420045406
2.7,0.0005,0.54,5743564.537504961,2733579.5188990054,2552852.8460135073,0.933886440238516,0.4444718657453237
2.7,0.0008,0.3375,6279365.967706456,3481051.0065078367,2871782.2687525973,0.8249756362040632,0.45733634311515026
2.7,0.0013,0.2076923076923077,6694682.949317668,4151539.7323969444,2303379.164226486,0.554825272717937,0.3440609781918425
2.7,0.002,0.135,6620974.8160624355,4889471.5434099035,1880974.86210986,0.38469900998709433,0.28409334189681995
2.7,0.0032,0.084375,6469306.157248785,5271903.357876473,1708044.2417802485,0.32399005175774886,0.26402278702893106
2.7,0.005,0.054000000000000006,6130532.237094929,5776874.943879866,1666937.7828494392,0.2885535517114535,0.27190751445087413
2.7,0.008,0.03375,6088008.314063065,6030034.032329567,1739228.452003621,0.288427634517298,0.285681024447038
2.7,0.013,0.02076923076923077,5754904.250313458,5830738.579720228,1668355.2469505016,0.28613103196791806,0.28990147783251646
2.7,0.02,0.013500000000000002,5784670.996435763,5671840.85399116,1744898.3084078706,0.3076423251861908,0.3016417544719472
2.7,0.032,0.0084375,5607487.983802994,5059141.996307043,1540783.4778548866,0.3045543056470035,0.2747724974721976
2.7,0.05,0.0054,5513935.3531328915,4301011.321853949,1160903.0987701663,0.2699139834558165,0.21053984575835982
3.5,0.0005,0.7,4119150.6776877046,1719612.4671906598,1559210.5111686976,0.9067220323867436,0.37852718513418504
3.5,0.0008,0.4375,4513205.697783009,2181477.251535114,2019886.344013974,0.9259259259259166,0.4475502512562609
3.5,0.0013,0.2692307692307692,4873241.579452797,2815721.5635555843,2000041.8465991006,0.7103123662815315,0.41041303083186775
3.5,0.002,0.175,5101453.299723804,3347624.967479333,1591812.1854931326,0.4755049328873067,0.31203111975548503
3.5,0.0032,0.109375,4956871.961415464,3755642.008970209,1343755.9678072145,0.3577966069709797,0.271089505290247
3.5,0.005,0.07,4782523.876984819,4287545.412893859,1296979.6524721556,0.3024993387992514,0.27119146413751877
