x,Q2,y,gen,rec,gen_rec,purity,stability
0.0005,2.0,0.7692307692307692,5807235.460316273,1042107.0176323679,136806.29552043002,0.13127854740989015,0.02355790400704353
0.0008,2.0,0.4807692307692307,6959221.182409027,2412826.8676054967,265941.20998364,0.11021976485513924,0.03821422009920669
0.001,2.0,0.3846153846153846,7505167.800981286,3287675.6736998437,320919.4408937195,0.09761286475455991,0.04275979557069462
0.002,2.0,0.1923076923076923,7962893.537395499,4008243.166254644,287676.78964576445,0.07177129173891252,0.036127167630054455
0.0032,2.0,0.12019230769230768,7838872.876970419,4989635.756443999,319640.87738418276,0.06406096416384181,0.04077638231935688
0.005,2.0,0.07692307692307693,7841430.003989493,5678073.378700042,336262.2030081603,0.059221179541210034,0.042882765367679085
0.008,2.0,0.04807692307692307,7782616.082550795,6022381.408025356,311969.49632696237,0.05180168361825032,0.040085427961225176
0.013,2.0,0.02958579881656805,7588274.429101185,6226631.101632056,404026.0690136071,0.06488678426889755,0.053243470935125776
0.02,2.0,0.019230769230769232,7606174.318234702,6194749.608244009,438547.2837710989,0.07079338334958327,0.057656749033445795
0.032,2.0,0.012019230769230768,7749373.431302835,5768588.327712243,471789.9350190539,0.08178602947840455,0.06088104273221686
0.05,2.0,0.007692307692307693,7705902.27197858,5369483.497238698,409140.32305175404,0.07619733318151696,0.05309440849510053
0.0008,2.7,0.6490384615384616,4908405.313111828,1709954.807032027,162377.56571116467,0.09496015043403623,0.033081531648864716
0.0013,2.7,0.3994082840236687,5400652.264283537,2685294.110521011,241648.50330244208,0.0899895852583375,0.04474431818181498
0.002,2.7,0.25961538461538464,5918470.485645984,3367724.4193245694,255712.70190734614,0.0759304117759825,0.04320587599913254
0.0032,2.7,0.1622596153846154,6059112.471695044,3986106.3514158214,246762.757340589,0.06190571339195242,0.04072589153829601
0.005,2.7,0.10384615384615385,6001577.113765883,4740923.699549345,242927.06681197882,0.05124045063941243,0.04047720494247659
0.008,2.7,0.06490384615384616,5866049.381754971,5229374.567905116,246762.757340589,0.04718781455340309,0.04206625980819206
0.013,2.7,0.03994082840236687,5936370.374779501,5258762.932396038,310690.93281742564,0.059080612077689956,0.052336851173805994
0.02,2.7,0.025961538461538463,5664036.34724814,5381363.69697102,301740.9882506685,0.05607147281654795,0.05327313769751296
0.032,2.7,0.01622596153846154,5702393.252534247,5251674.419778667,359276.34617982147,0.06841177069673775,0.06300448430492803
0.05,2.7,0.010384615384615384,5592436.790714073,4781961.4845762625,392518.9974277765,0.08208326200321922,0.07018747142203417
0.08,2.7,0.006490384615384616,5632072.259509717,3686594.0549735464,253155.57488827268,0.06866922994864137,0.04494892167990586
0.0008,3.5,0.8413461538461539,2787268.450790099,757241.0264113152,65206.738986373006,0.08611094316349716,0.023394495412843726
0.0013,3.5,0.5177514792899408,3839526.2191389734,1938399.826753811,120184.9698964525,0.06200215674684785,0.03130203130202986
0.002,3.5,0.3365384615384615,4119531.627727556,2545807.4621609068,173884.63729699526,0.06830235195767721,0.04220980757293389
0.0032,3.5,0.21033653846153846,4471136.5928502055,3057704.1529678293,186670.2723923626,0.06104916076042841,0.04175007148984601
0.005,3.5,0.1346153846153846,4565750.292555937,3444117.0601685187,180277.45484467893,0.05234359102644962,0.03948473816857786
0.008,3.5,0.08413461538461538,4423829.74299734,3944468.967179854,172606.07378745853,0.04375901426114282,0.03901734104046018
0.013,3.5,0.05177514792899409,4264009.304305227,4320364.381992279,218634.3601307809,0.05060553712600523,0.05127436281858793
0.02,3.5,0.03365384615384615,4288302.010986428,4168949.440594902,237812.8127738319,0.05704382270942015,0.05545617173523849
0.032,3.5,0.021033653846153844,4252502.232719394,4049599.1381404554,248041.32085012575,0.06125083307974636,0.05832832230907684
0.05,3.5,0.013461538461538462,3967382.570092664,3827819.254306796,263384.08296456654,0.06880786825768356,0.06638736706412833
0.08,3.5,0.008413461538461538,4030032.1820599725,2994617.738132091,191784.52643050952,0.06404307434248224,0.04758883248730729
0.13,3.5,0.005177514792899409,2995674.3028446147,1638639.441377139,93335.13619618112,0.05695892204189884,0.031156636790438966
0.0013,4.5,0.6656804733727811,3590206.3347792765,1516447.6777253968,143199.1130681137,0.09443063230701497,0.039886039886038324
0.002,4.5,0.43269230769230765,3991675.2767738653,2318662.3021889725,194341.65344958298,0.08381628202869881,0.04868673926969655
0.0032,4.5,0.2704326923076923,4186016.930223475,2797248.6319935177,186670.2723923626,0.06673352888882392,0.04459376908979606
0.005,4.5,0.17307692307692307,4376522.893144474,3267122.623673907,202013.03450680338,0.06183209440716921,0.04615834063686564
0.008,4.5,0.10817307692307691,4187295.493733012,3664404.86231681,242927.06681197882,0.06629373007064204,0.05801526717556948
