x,Q2,y,gen,rec,gen_rec,purity,stability
0.001,2.0,0.7692307692307692,5783936.37009797,3285647.9466767614,1408139.6585458443,0.4285728968528397,0.24345697608737574
0.002,2.0,0.3846153846153846,6596366.521122635,3803603.8968054955,1805642.3463797134,0.474718818091496,0.2737328710582946
0.0032,2.0,0.24038461538461536,7146335.993331022,4746145.040681712,2008205.3599060138,0.42312347024640556,0.28101188661995125
0.005,2.0,0.15384615384615385,7390282.848330385,5814501.579763746,2096418.2851513382,0.3605499553818196,0.28367226643090687
0.008,2.0,0.09615384615384615,7371769.024513469,6748905.158288093,2039787.7652407596,0.30223980296059844,0.2767026148618898
0.013,2.0,0.0591715976331361,7519879.615048797,7368501.879134013,2132356.884325367,0.28938811705588835,0.2835626357712018
0.02,2.0,0.038461538461538464,7580866.328798638,7770360.760807072,2275022.232561663,0.2927820602663198,0.300100560264356
0.032,2.0,0.024038461538461536,7616804.927972651,7528663.855518201,2382838.030083749,0.31650211456010574,0.31283957678012686
0.05,2.0,0.015384615384615385,7511167.227370248,6949218.222103857,2052856.3467585854,0.2954082432220827,0.27330723502974325
0.08,2.0,0.009615384615384616,7632051.606410111,6270741.031636878,1700004.645777288,0.2711010767627775,0.22274543378997397
0.13,2.0,0.005917159763313609,5603154.325768084,4350748.59697671,781936.7941499945,0.17972465581977187,0.13955296404276818
0.0013,2.7,0.7988165680473374,3694052.375705888,1849983.4088748982,641449.5428333518,0.3467325921714407,0.1736438679245252
0.002,2.7,0.5192307692307693,4594695.451976073,2591061.8442817554,1033506.9883681687,0.3988739175211226,0.22493481867741225
0.0032,2.7,0.3245192307692308,5161000.651081738,3058119.9279624172,1374379.1562914609,0.44941963973505467,0.26630090736442613
0.005,2.7,0.2076923076923077,5474646.607509491,3743131.409188601,1475660.663054611,0.3942315942828441,0.2695444599164573
0.008,2.7,0.12980769230769232,5448509.444473845,4734093.654832852,1500708.777630444,0.317000230043702,0.2754347391565117
0.013,2.7,0.07988165680473373,5566126.678134252,5441975.153714933,1575853.1213579425,0.2895737442465527,0.28311485032283945
0.02,2.7,0.051923076923076926,5665230.087977744,5789453.465187918,1701093.6942371067,0.2938263006112428,0.3002691272587532
0.032,2.7,0.03245192307692308,5606421.47114754,5731662.0440266775,1791484.7164020687,0.3125593767813102,0.31954156954157464
0.05,2.7,0.02076923076923077,5516030.448982597,5196939.250255751,1637928.8835676152,0.31517183570829876,0.2969397828233023
0.08,2.7,0.012980769230769231,5461578.025991668,4716668.879475755,1378735.3501307361,0.2923112445162737,0.2524426719840548
0.13,2.7,0.007988165680473374,4271248.059409953,3246453.4587202575,708970.5473421258,0.21838309292183722,0.16598674145843587
0.2,2.7,0.005192307692307692,3526338.912893754,2660545.3873376073,383345.057856264,0.14408514121981403,0.10870907967881245
0.002,3.5,0.673076923076923,3343378.771644153,1757248.0710146234,592442.3621414996,0.33714213258428977,0.1771986970684024
0.0032,3.5,0.4206730769230769,3706031.9087638976,2034104.4513751345,793916.3272080028,0.39030263498577183,0.21422274463708113
0.005,3.5,0.2692307692307692,3990273.5567766703,2403374.9886416174,962718.8384799379,0.40056955033224534,0.24126637554584576
0.008,3.5,0.16826923076923075,4234220.411776121,3098547.169960452,1089048.4598189301,0.35147067321645137,0.25720164609052765
